,Symbols,Return90d,Return20d,Vol20d,Return90d_rank,Return20d_rank,Vol20d_rank,Weighted_rank,Overall_rank
0,IWM,16.91%,8.74%,16.25%,1.0,1.0,9.0,3.3999999999999995,1.0
1,DBC,2.95%,3.91%,10.80%,6.0,4.0,3.0,4.5,2.0
2,SPY,4.06%,2.18%,8.78%,5.0,7.0,2.0,4.699999999999999,3.0
3,QQQ,1.61%,4.67%,11.79%,7.0,2.0,5.0,4.9,4.0
4,EFA,7.96%,2.59%,14.96%,3.0,6.0,7.0,5.1,5.0
5,RWX,7.03%,2.88%,15.94%,4.0,5.0,8.0,5.5,6.0
6,EEM,9.41%,2.18%,17.40%,2.0,8.0,10.0,6.2,7.0
7,GLD,-9.83%,4.04%,14.89%,11.0,3.0,6.0,7.1000000000000005,8.0
8,TLH,-1.03%,-0.90%,8.75%,10.0,10.0,1.0,7.3,9.0
9,TLT,-1.02%,-0.67%,11.56%,9.0,9.0,4.0,7.5,10.0
10,ICF,1.41%,-1.58%,17.58%,8.0,11.0,11.0,9.8,11.0
