,Symbols,Return90d,Return20d,Vol20d,Return90d_rank,Return20d_rank,Vol20d_rank,Weighted_rank,Overall_rank
0,IWM,24.26%,9.68%,18.84%,1.0,1.0,11.0,4.0,1.5
1,DBC,6.67%,6.67%,10.35%,7.0,2.0,2.0,4.0,1.5
2,EEM,13.24%,4.95%,16.73%,2.0,3.0,9.0,4.3999999999999995,3.0
3,EFA,12.98%,4.05%,15.20%,3.0,4.0,7.0,4.5,4.0
4,RWX,12.24%,3.79%,13.76%,4.0,5.0,6.0,4.9,5.0
5,SPY,10.00%,2.29%,12.27%,5.0,7.0,3.0,5.0,6.0
6,QQQ,9.91%,3.75%,13.08%,6.0,6.0,5.0,5.7,7.0
7,TLH,-5.21%,0.34%,9.37%,9.0,9.0,1.0,6.6,8.0
8,TLT,-6.76%,0.49%,12.38%,10.0,8.0,4.0,7.6000000000000005,9.0
9,ICF,1.84%,-3.39%,17.37%,8.0,11.0,10.0,9.5,10.0
10,GLD,-11.04%,-2.64%,16.13%,11.0,10.0,8.0,9.8,11.0
